Mesh	User_Control	Scale	Radius	Position_X	Position_Y	Position_Z	Colour_R	Colour_G	Colour_B	Rotation_X	Rotation_Y	Rotation_Z	Collision	Physics	Wireframe
Ground_XYZ_Rot_Y_is_up.ply	0	100	0	0	0	0	0	0	1	0	0	0	1	0	1
Ground_XYZ_Rot_Y_is_up.ply	0	100	0	-85	35	0	0	0	1	0	0	-0.78539816	1	0	1
Ground_XYZ_Rot_Y_is_up.ply	0	100	0	85	35	0	0	0	1	0	0	0.78539816	1	0	1
Ground_XYZ_Rot_Y_is_up.ply	0	100	0	0	35	85	0	0	1	-0.78539816	0	0	1	0	1
Ground_XYZ_Rot_Y_is_up.ply	0	100	0	0	35	-85	0	0	1	0.78539816	0	0	1	0	1
Sphere.ply	1	5	2.5	0	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	10	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	20	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	30	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	40	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	50	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	60	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	70	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	80	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	90	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	100	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	-10	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	-20	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	-30	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	-40	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	-50	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	-60	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	-70	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	-80	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	-90	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	-100	70	0	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	0	70	10	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	0	70	20	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	0	70	30	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	0	70	40	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	0	70	50	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	0	70	60	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	0	70	70	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	0	70	80	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	0	70	90	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	0	70	100	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	0	70	-10	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	0	70	-20	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	0	70	-30	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	0	70	-40	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	0	70	-50	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	0	70	-60	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	0	70	-70	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	0	70	-80	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	0	70	-90	1	1	1	0	0	0	1	1	1
Sphere.ply	1	5	2.5	0	70	-100	1	1	1	0	0	0	1	1	1
